"scene_cat","object_cat","response","acc","pe_level","trialN","Q1","P1","Q2","P2","Q3","P3","Prob","Delta","x1","x2","x3","Delta1","Delta2","Delta3","SubNum"
4,1,0,0,1,1,0.286938856171175,0.333333333333333,0.286938856171175,0.333333333333333,0.286938856171175,0.333333333333333,NA,NA,0,0,0,-0.33,-0.33,-0.33,1
5,1,1,1,3,2,0.417427170803979,0.333333333333333,0.286938856171175,0.333333333333333,0.286938856171175,0.333333333333333,0.333333333333333,NA,1,0,0,0.67,-0.33,-0.33,1
4,1,2,0,1,3,0.249496688426734,0.333333333333333,0.249496688426734,0.333333333333333,0.249496688426734,0.333333333333333,0.333333333333333,NA,0,0,0,-0.286938856171175,-0.286938856171175,-0.286938856171175,1
4,1,3,0,1,4,0.216940286047463,0.333333333333333,0.216940286047463,0.333333333333333,0.216940286047463,0.333333333333333,0.333333333333333,NA,0,0,0,-0.249496688426734,-0.249496688426734,-0.249496688426734,1
4,2,1,0,3,5,0.188632113745171,0.333333333333333,0.188632113745171,0.333333333333333,0.188632113745171,0.333333333333333,0.333333333333333,NA,0,0,0,-0.216940286047463,-0.216940286047463,-0.216940286047463,1
1,3,2,0,2,6,0.286938856171175,0.333333333333333,0.286938856171175,0.333333333333333,0.286938856171175,0.333333333333333,0.333333333333333,NA,0,0,0,-0.33,-0.33,-0.33,1
5,2,1,0,1,7,0.362957802803828,0.490672645763481,0.249496688426734,0.254663677118259,0.249496688426734,0.254663677118259,0.490672645763481,NA,0,0,0,-0.417427170803979,-0.286938856171175,-0.286938856171175,1
1,2,0,0,2,8,0.249496688426734,0.333333333333333,0.249496688426734,0.333333333333333,0.249496688426734,0.333333333333333,NA,NA,0,0,0,-0.286938856171175,-0.286938856171175,-0.286938856171175,1
6,3,3,1,1,9,0.286938856171175,0.333333333333333,0.286938856171175,0.333333333333333,0.417427170803979,0.333333333333333,0.333333333333333,NA,0,0,1,-0.33,-0.33,0.67,1
3,2,1,0,2,10,0.286938856171175,0.333333333333333,0.286938856171175,0.333333333333333,0.286938856171175,0.333333333333333,0.333333333333333,NA,0,0,0,-0.33,-0.33,-0.33,1
6,3,3,1,1,11,0.249496688426734,0.254663677118259,0.249496688426734,0.254663677118259,0.493446117436632,0.490672645763481,0.490672645763481,NA,0,0,1,-0.286938856171175,-0.286938856171175,0.582572829196021,1
2,3,2,0,2,12,0.286938856171175,0.333333333333333,0.286938856171175,0.333333333333333,0.286938856171175,0.333333333333333,0.333333333333333,NA,0,0,0,-0.33,-0.33,-0.33,1
5,2,1,0,1,13,0.315596050833131,0.46931552172259,0.216940286047463,0.265342239138705,0.216940286047463,0.265342239138705,0.46931552172259,NA,0,0,0,-0.362957802803828,-0.249496688426734,-0.249496688426734,1
4,1,1,1,1,14,0.294506141769745,0.333333333333333,0.164017827136941,0.333333333333333,0.164017827136941,0.333333333333333,0.333333333333333,NA,1,0,0,0.811367886254829,-0.188632113745171,-0.188632113745171,1
5,2,2,1,1,15,0.274414454055147,0.450833412060097,0.319120428377975,0.274583293969951,0.188632113745171,0.274583293969951,0.274583293969951,NA,0,1,0,-0.315596050833131,0.783059713952537,-0.216940286047463,1
6,3,3,1,1,16,0.216940286047463,0.18491559360867,0.216940286047463,0.18491559360867,0.559545479843029,0.63016881278266,0.63016881278266,NA,0,0,1,-0.249496688426734,-0.249496688426734,0.506553882563368,1
