"scene_cat","object_cat","response","acc","pe_level","trialN","Q1","befQ1","P1","variance1","Q2","befQ2","P2","variance2","Q3","befQ3","P3","variance3","Prob","Delta","x1","x2","x3","Delta1","Delta2","Delta3","SubNum"
4,1,0,0,1,1,0.4314859790065,0.33,0.333333333333333,0.166666666666667,0.280014368549038,0.33,0.333333333333333,0.166666666666667,0.280014368549038,0.33,0.333333333333333,0.166666666666667,NA,NA,1,0,0,0.67,-0.33,-0.33,1
5,1,1,1,3,2,0.4314859790065,0.33,0.333333333333333,0.166666666666667,0.280014368549038,0.33,0.333333333333333,0.166666666666667,0.280014368549038,0.33,0.333333333333333,0.166666666666667,0.333333333333333,NA,1,0,0,0.67,-0.33,-0.33,1
4,1,2,0,1,3,0.517599713334032,0.4314859790065,0.461724172434828,0.0174858223062382,0.237600141193686,0.280014368549038,0.269137913782586,0.0174858223062382,0.237600141193686,0.280014368549038,0.269137913782586,0.0174858223062382,0.269137913782586,NA,1,0,0,0.5685140209935,-0.280014368549038,-0.280014368549038,1
4,1,3,0,1,4,0.590669661640468,0.517599713334032,0.575562840476601,0.0174858223062382,0.201610465162158,0.237600141193686,0.212218579761699,0.0174858223062382,0.201610465162158,0.237600141193686,0.212218579761699,0.0174858223062382,0.212218579761699,NA,1,0,0,0.482400286665968,-0.237600141193686,-0.237600141193686,1
4,2,1,0,3,5,0.501199976743422,0.590669661640468,0.666678444519599,0.0174858223062382,0.32254381377643,0.201610465162158,0.166660777740201,0.0174858223062382,0.171072203318968,0.201610465162158,0.166660777740201,0.0174858223062382,0.666678444519599,NA,0,1,0,-0.590669661640468,0.798389534837842,-0.201610465162158,1
1,3,2,0,2,6,0.280014368549038,0.33,0.333333333333333,0.166666666666667,0.280014368549038,0.33,0.333333333333333,0.166666666666667,0.4314859790065,0.33,0.333333333333333,0.166666666666667,0.333333333333333,NA,0,0,1,-0.33,-0.33,0.67,1
5,2,1,0,1,7,0.36612810287657,0.4314859790065,0.461724172434828,0.0174858223062382,0.389071751651148,0.280014368549038,0.269137913782586,0.0174858223062382,0.237600141193686,0.280014368549038,0.269137913782586,0.0174858223062382,0.461724172434828,NA,0,1,0,-0.4314859790065,0.719985631450963,-0.280014368549038,1
1,2,0,0,2,8,0.237600141193686,0.280014368549038,0.269137913782586,0.0666666666666667,0.389071751651148,0.280014368549038,0.269137913782586,0.0666666666666667,0.36612810287657,0.4314859790065,0.461724172434828,0.0666666666666667,NA,NA,0,1,0,-0.280014368549038,0.719985631450963,-0.4314859790065,1
6,3,3,1,1,9,0.280014368549038,0.33,0.333333333333333,0.166666666666667,0.280014368549038,0.33,0.333333333333333,0.166666666666667,0.4314859790065,0.33,0.333333333333333,0.166666666666667,0.333333333333333,NA,0,0,1,-0.33,-0.33,0.67,1
3,2,1,0,2,10,0.280014368549038,0.33,0.333333333333333,0.166666666666667,0.4314859790065,0.33,0.333333333333333,0.166666666666667,0.280014368549038,0.33,0.333333333333333,0.166666666666667,0.333333333333333,NA,0,1,0,-0.33,0.67,-0.33,1
6,3,3,1,1,11,0.237600141193686,0.280014368549038,0.269137913782586,0.0174858223062382,0.237600141193686,0.280014368549038,0.269137913782586,0.0174858223062382,0.517599713334032,0.4314859790065,0.461724172434828,0.0174858223062382,0.461724172434828,NA,0,0,1,-0.280014368549038,-0.280014368549038,0.5685140209935,1
2,3,2,0,2,12,0.280014368549038,0.33,0.333333333333333,0.166666666666667,0.280014368549038,0.33,0.333333333333333,0.166666666666667,0.4314859790065,0.33,0.333333333333333,0.166666666666667,0.333333333333333,NA,0,0,1,-0.33,-0.33,0.67,1
5,2,1,0,1,13,0.310670089500121,0.36612810287657,0.367951976173709,0.0174858223062382,0.481610037302505,0.389071751651148,0.399298111427071,0.0174858223062382,0.201610465162158,0.237600141193686,0.23274991239922,0.0174858223062382,0.367951976173709,NA,0,1,0,-0.36612810287657,0.610928248348853,-0.237600141193686,1
4,1,1,1,1,14,0.576754019562315,0.501199976743422,0.544222707630034,0.0174858223062382,0.273687582860622,0.32254381377643,0.287938582535129,0.0174858223062382,0.145159621177737,0.171072203318968,0.167838709834837,0.0174858223062382,0.544222707630034,NA,1,0,0,0.498800023256578,-0.32254381377643,-0.171072203318968,1
5,2,2,1,1,15,0.263612390722574,0.310670089500121,0.28434942779945,0.0174858223062382,0.560131399797278,0.481610037302505,0.52286315155777,0.0174858223062382,0.171072203318968,0.201610465162158,0.19278742064278,0.0174858223062382,0.52286315155777,NA,0,1,0,-0.310670089500121,0.518389962697495,-0.201610465162158,1
6,3,3,1,1,16,0.201610465162158,0.237600141193686,0.212218579761699,0.0174858223062382,0.201610465162158,0.237600141193686,0.212218579761699,0.0174858223062382,0.590669661640468,0.517599713334032,0.575562840476601,0.0174858223062382,0.575562840476601,NA,0,0,1,-0.237600141193686,-0.237600141193686,0.482400286665968,1
6,1,3,0,3,17,0.32254381377643,0.201610465162158,0.166660777740201,0.0174858223062382,0.171072203318968,0.201610465162158,0.166660777740201,0.0174858223062382,0.501199976743422,0.590669661640468,0.666678444519599,0.0174858223062382,0.666678444519599,NA,1,0,0,0.798389534837842,-0.201610465162158,-0.590669661640468,1
6,3,2,0,1,18,0.273687582860622,0.32254381377643,0.287938582535129,0.0174858223062382,0.145159621177737,0.171072203318968,0.167838709834837,0.0174858223062382,0.576754019562315,0.501199976743422,0.544222707630034,0.0174858223062382,0.167838709834837,NA,0,0,1,-0.32254381377643,-0.171072203318968,0.498800023256578,1
6,3,3,1,1,19,0.232231683922514,0.273687582860622,0.218482844519656,0.0174858223062382,0.12317205958455,0.145159621177737,0.138202445469882,0.0174858223062382,0.640863769838859,0.576754019562315,0.643314710010461,0.0174858223062382,0.643314710010461,NA,0,0,1,-0.273687582860622,-0.145159621177737,0.423245980437685,1
6,3,3,1,1,20,0.197055176759522,0.232231683922514,0.16758391568085,0.0174858223062382,0.104514989355916,0.12317205958455,0.1136210158584,0.0174858223062382,0.695262712994989,0.640863769838859,0.718795068460751,0.0174858223062382,0.718795068460751,NA,0,0,1,-0.232231683922514,-0.12317205958455,0.359136230161141,1
6,2,3,0,3,21,0.167206911786778,0.197055176759522,0.131215838312728,0.0174858223062382,0.240155546058693,0.104514989355916,0.0943576274921487,0.0174858223062382,0.589950150166614,0.695262712994989,0.774426534195123,0.0174858223062382,0.774426534195123,NA,0,1,0,-0.197055176759522,0.895485010644084,-0.695262712994989,1
6,3,2,0,1,22,0.141879811578816,0.167206911786778,0.146903217387526,0.0174858223062382,0.203778798736891,0.240155546058693,0.190511819958002,0.0174858223062382,0.652061061288717,0.589950150166614,0.662584962654472,0.0174858223062382,0.190511819958002,NA,0,0,1,-0.167206911786778,-0.240155546058693,0.410049849833386,1
5,2,1,0,1,23,0.223682597363284,0.263612390722574,0.217596385172367,0.0174858223062382,0.626759005059654,0.560131399797278,0.62592952664021,0.0174858223062382,0.145159621177737,0.171072203318968,0.156474088187422,0.0174858223062382,0.217596385172367,NA,0,1,0,-0.263612390722574,0.439868600202722,-0.171072203318968,1
4,1,1,1,1,24,0.640863769838859,0.576754019562315,0.643314710010461,0.0174858223062382,0.232231683922514,0.273687582860622,0.218482844519656,0.0174858223062382,0.12317205958455,0.145159621177737,0.138202445469882,0.0174858223062382,0.643314710010461,NA,1,0,0,0.423245980437685,-0.273687582860622,-0.145159621177737,1
2,1,2,0,2,25,0.389071751651148,0.280014368549038,0.269137913782586,0.0666666666666667,0.237600141193686,0.280014368549038,0.269137913782586,0.0666666666666667,0.36612810287657,0.4314859790065,0.461724172434828,0.0666666666666667,0.269137913782586,NA,1,0,0,0.719985631450963,-0.280014368549038,-0.4314859790065,1
4,3,3,1,3,26,0.543791102537527,0.640863769838859,0.718795068460751,0.0174858223062382,0.197055176759522,0.232231683922514,0.16758391568085,0.0174858223062382,0.255986599813378,0.12317205958455,0.1136210158584,0.0174858223062382,0.1136210158584,NA,0,0,1,-0.640863769838859,-0.232231683922514,0.87682794041545,1
5,3,2,0,3,27,0.189801034109359,0.223682597363284,0.167756501932243,0.0174858223062382,0.531822809194551,0.626759005059654,0.705430943862726,0.0174858223062382,0.274643670042012,0.145159621177737,0.126812554205031,0.0174858223062382,0.705430943862726,NA,0,0,1,-0.223682597363284,-0.626759005059654,0.854840378822263,1
6,3,3,1,1,28,0.120389048027571,0.141879811578816,0.118963004169276,0.0174858223062382,0.172912095915127,0.203778798736891,0.148321058925168,0.0174858223062382,0.704763932676175,0.652061061288717,0.732715936905556,0.0174858223062382,0.732715936905556,NA,0,0,1,-0.141879811578816,-0.203778798736891,0.347938938711283,1
5,2,1,0,1,29,0.161051565806323,0.189801034109359,0.174340214838184,0.0174858223062382,0.602738362265303,0.531822809194551,0.589777901232223,0.0174858223062382,0.233042951038801,0.274643670042012,0.235881883929593,0.0174858223062382,0.174340214838184,NA,0,1,0,-0.189801034109359,0.468177190805449,-0.274643670042012,1
4,1,1,1,1,30,0.612893798941191,0.543791102537527,0.606324929933581,0.0174858223062382,0.167206911786778,0.197055176759522,0.176245967754668,0.0174858223062382,0.217211897284116,0.255986599813378,0.217429102311752,0.0174858223062382,0.606324929933581,NA,1,0,0,0.456208897462473,-0.197055176759522,-0.255986599813378,1
3,3,2,0,2,31,0.237600141193686,0.280014368549038,0.269137913782586,0.0666666666666667,0.36612810287657,0.4314859790065,0.461724172434828,0.0666666666666667,0.389071751651148,0.280014368549038,0.269137913782586,0.0666666666666667,0.461724172434828,NA,0,0,1,-0.280014368549038,-0.4314859790065,0.719985631450963,1
5,2,1,0,1,32,0.136656825766943,0.161051565806323,0.140493710091376,0.0174858223062382,0.662912222305947,0.602738362265303,0.677927079813456,0.0174858223062382,0.197743559939194,0.233042951038801,0.181579210095167,0.0174858223062382,0.140493710091376,NA,0,1,0,-0.161051565806323,0.397261637734697,-0.233042951038801,1
5,2,2,1,1,33,0.11595719628802,0.136656825766943,0.114084227685551,0.0174858223062382,0.713971450858792,0.662912222305947,0.744088578278954,0.0174858223062382,0.167791024457613,0.197743559939194,0.141827194035494,0.0174858223062382,0.744088578278954,NA,0,1,0,-0.136656825766943,0.337087777694053,-0.197743559939194,1
3,1,3,0,2,34,0.35308207561962,0.237600141193686,0.23274991239922,0.0666666666666667,0.310670089500121,0.36612810287657,0.367951976173709,0.0666666666666667,0.330138426845043,0.389071751651148,0.399298111427071,0.0666666666666667,0.399298111427071,NA,1,0,0,0.762399858806314,-0.36612810287657,-0.389071751651148,1
