"","PE_level","trialN","id_acc","trial_acc","session","SubNum","PEchoice","PEobs"
"2","0.5",2,0,0,"DelayedRec",1,NA,0.673487543934326
"5","0.1",5,0,1,"ImmediateRec",1,0.383920527169472,0.366783660121707
"6","0.9",6,0,0,"ImmediateRec",1,-0.66617661537381,0.82458782741348
"8","0.9",8,0,0,"DelayedRec",1,-0.793813562059395,0.823781326248096
"10","0.9",10,0,0,"ImmediateRec",1,-0.308100592337983,0.831948506062868
"11","0.9",11,0,1,"ImmediateRec",1,0.980740721324288,0.790991906140222
"14","0.5",14,0,0,"DelayedRec",1,-0.142615417304107,0.675678360852094
"15","0.5",15,0,0,"DelayedRec",1,-0.256076531681201,0.668759722910209
"17","0.5",17,0,0,"DelayedRec",1,-0.308443876955083,0.683183667830114
"18","0.1",18,0,0,"DelayedRec",1,-0.147234482493079,0.40924491431716
"19","0.5",19,0,0,"DelayedRec",1,-0.222661536645107,0.689761703097518
"21","0.9",21,0,0,"ImmediateRec",1,-0.575055007625213,0.868039048695572
"22","0.9",22,0,0,"DelayedRec",1,-0.730651511487496,0.848082952462956
"23","0.5",23,1,0,"DelayedRec",1,-0.268195555292406,0.649550720654788
"24","0.1",24,0,1,"ImmediateRec",1,0.499982951140956,0.345073448702213
"26","0.5",26,0,0,"ImmediateRec",1,-0.193606807994737,0.655804921025247
"31","0.9",31,1,0,"ImmediateRec",1,-0.791538665343421,0.839874993574128
"32","0.5",32,0,0,"ImmediateRec",1,-0.12400577185944,0.640331934315719
"33","0.1",33,0,1,"DelayedRec",1,0.311747881063941,0.354249987853085
"34","0.5",34,0,0,"DelayedRec",1,-0.107824467684761,0.696897525843093
"39","0.5",39,0,0,"ImmediateRec",1,-0.0937546346203977,0.712019217929
"40","0.9",40,1,0,"ImmediateRec",1,-0.764302836516653,0.863984973357677
"42","0.9",42,0,0,"ImmediateRec",1,-0.67131380472917,0.849856870965443
"43","0.5",43,1,0,"ImmediateRec",1,-0.0937546346203977,0.71569237072419
"44","0.9",44,0,0,"ImmediateRec",1,-0.664570247510524,0.826842582140278
"45","0.5",45,0,1,"DelayedRec",1,0.918479249640232,0.67920007930069
"47","0.5",47,0,0,"ImmediateRec",1,-0.201371559670524,0.696189944474363
"49","0.5",49,1,0,"ImmediateRec",1,-0.0937546346203977,0.676755902425837
"51","0.5",51,0,1,"ImmediateRec",1,0.938366190142956,0.680337486906689
"52","0.5",52,1,0,"ImmediateRec",1,-0.184079632517203,0.679782686307052
"54","0.5",54,1,1,"ImmediateRec",1,0.839940608488192,0.664230398487668
"57","0.1",57,1,1,"ImmediateRec",1,0.516626756534159,0.259814647467035
