particip_code,pred_trialN,pred_Cond,pred_Cont,pred_Cat,pred_Obj,pred_predictedValue,pred_acc,pred_rt,rec_trialN,rec_session,rec_trialType,rec_Cond,rec_Cat,rec_Obj,rec_response,rec_acc,rec_rt,rec_respConf,rec_rtConf,rec_respCont
20,1,4,5,Instruments,keyboard,2,1,1.468010595534,185,1,old,4,Instruments,keyboard,1,1,0.59712860127911,6,9.58968885242939e-05,6
20,2,1,3,Instruments,harmonica,1,0,1.2233323273249,362,2,old,1,Instruments,harmonica,1,1,0.672721231356263,6,4.97126020491123e-05,6
20,3,4,6,HouseObjects,recyclingbin,3,1,0.712751405313611,259,2,old,4,HouseObjects,recyclingbin,1,1,0.77686556102708,5,0.000104556791484356,5
20,4,4,5,Instruments,trombone,2,1,0.939356103539467,302,2,old,4,Instruments,trombone,1,1,1.23336977837607,6,6.54282048344612e-05,6
20,5,2,4,FruitsAndVegs,cherry2,1,1,1.16645119246095,192,1,old,2,FruitsAndVegs,cherry2,0,0,2.79981192620471,5,3.07710068533197,4
20,6,3,4,Instruments,harp2,1,0,0.976695062592626,86,1,old,3,Instruments,harp2,1,1,0.696648377925158,6,9.94252040982246e-05,6
20,7,4,4,FruitsAndVegs,broccoli,2,0,0.755152708850801,17,1,old,4,FruitsAndVegs,broccoli,1,1,2.45471007423475,6,3.69404343841597,4
20,8,3,6,Instruments,musicsheet2,3,0,0.893679863307625,269,2,old,3,Instruments,musicsheet2,0,0,0.926865095738322,6,1.96277554007247,2
20,9,4,6,HouseObjects,rug2,3,1,0.519880061037838,326,2,old,4,HouseObjects,rug2,1,1,0.660277049522847,5,4.74584042001516,3
20,10,3,5,FruitsAndVegs,corn2,0,0,NaN,11,1,old,3,FruitsAndVegs,corn2,0,0,1.27609790209681,4,0.000101670157164335,4
20,11,3,5,FruitsAndVegs,cauliflower2,2,0,1.70886805094779,131,1,old,3,FruitsAndVegs,cauliflower2,1,1,1.52272426243871,6,1.38208416337147,4
20,12,4,4,FruitsAndVegs,eggplant,2,0,0.623843821696937,218,2,old,4,FruitsAndVegs,eggplant,1,1,0.571710718795657,5,9.46144573390484e-05,5
20,13,4,4,FruitsAndVegs,pear,1,1,1.25110305799171,333,2,old,4,FruitsAndVegs,pear,1,1,2.69550498854369,5,1.62950945226476,1
20,14,1,1,HouseObjects,match2,1,0,1.32532073417678,212,2,old,1,HouseObjects,match2,1,1,0.893246241379529,5,9.46144573390484e-05,5
20,15,1,2,HouseObjects,safetypin,3,1,1.52032170118764,379,2,old,1,HouseObjects,safetypin,0,0,1.15636466955766,5,5.13163395226002e-05,5
20,16,4,4,FruitsAndVegs,cucumber,2,0,1.05030047241598,84,1,old,4,FruitsAndVegs,cucumber,1,1,1.00810379208997,5,1.8770973496139,4
20,17,1,1,Instruments,flute,1,0,1.32480500638485,231,2,old,1,Instruments,flute,1,1,0.79459114279598,5,9.58968885242939e-05,5
20,18,2,5,Instruments,laud,2,1,1.07025927165523,209,2,old,2,Instruments,laud,0,0,2.3732218532823,4,9.62177291512489e-05,4
20,19,1,2,FruitsAndVegs,garlic,1,1,1.06469627423212,215,2,old,1,FruitsAndVegs,garlic,1,1,1.05916342372075,5,9.7180251032114e-05,5
20,20,4,5,Instruments,speaker,2,1,0.81910265237093,199,2,old,4,Instruments,speaker,1,1,1.03463555686176,6,1.19074364565313,2
20,21,3,4,HouseObjects,handbrush,0,0,NaN,155,1,old,3,HouseObjects,handbrush,0,0,2.2401460846886,5,9.87839885056019e-05,5
20,22,3,6,FruitsAndVegs,eggplant2,3,0,0.880513085052371,214,2,old,3,FruitsAndVegs,eggplant2,1,1,1.05384674342349,5,9.81418415904045e-05,5
