"PartNum","alpha","beta","BIC","LogLikel"
1,0.151463537906236,3.56334668329625,94.8882068275075,-43.0873945870642
2,1,0.510825608681119,130.487713874081,-60.8871481103508
3,0.0223669579849048,20,68.2127624886712,-29.749672417646
4,0.0732404905466081,6.10146758527866,83.3400010757777,-37.3132917111993
6,0.356128134832824,1.85663827254162,113.605422502456,-52.4460024245386
7,0.218256828384395,0.89126557155339,136.275861501312,-63.7812219239666
8,0.0338876204876343,20,50.8845127257114,-21.0855475361661
9,0.00149579319190935,20,131.017620882339,-61.1521016144801
10,0.106931179039361,9.05599673074528,45.1796884563448,-18.2331354014828
11,0.321111617461356,0.760239761328751,102.431551616712,-46.8590669816662
12,0.5486685131587,2.24348669603511,100.792564874783,-46.0395736107018
14,0.0062808804457365,20,117.267725342511,-54.2771538445659
15,0.365400326674883,1.60176130681505,114.823639001923,-53.055110674272
16,0.378101455683125,0.855716017242056,124.487272019831,-57.8869271832257
17,0.167769910039734,6.22244746973066,53.0532799835466,-22.1699311650837
18,0.0239555565532885,20,66.6143752978415,-28.9504788222311
19,0.0164858381436068,20,79.4816949840695,-35.3841386653451
20,0.341266168761448,1.77034545846051,102.104860917118,-46.6957216318692
21,0.0946660119212181,3.05608289326496,110.320960228064,-50.8037712873423
22,0.0117343957381067,20,94.0815569244346,-42.6840696355277
23,0.632016127974806,1.67097394414333,109.537824630288,-50.4122034884545
24,0.270483456645328,2.11113732160051,109.387510750837,-50.3370465487287
25,0.182403087448869,4.49249842539114,74.7112987697313,-32.9989405581761
26,0.141351844887507,6.92462416355113,53.2711130551557,-22.2788477008882
27,0.0447278232725115,15.6705015677685,52.061982289615,-21.6742823181179
28,0.648392917509866,1.5391399982171,108.99180691037,-50.1391946284955
29,0.0559775548708599,8.39194118710438,75.2030905207802,-33.2448364337005
30,0.00968181991669369,20,107.210634157427,-49.2486082520237
31,0.114709345304168,4.76316684497656,84.4499314277558,-37.8682568871883
32,0.345444642593151,3.49455029399966,63.3206141537026,-27.3035982501617
33,0.176977114907825,3.83302201200822,86.3586626780341,-38.8226225123275
34,0.267205086531193,3.42446359205945,78.6666876671782,-34.9766350068995
