"","participant","iteration_index","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","rating_acc","corr_rat","group"
"254",25,1,"stim/11.jpeg",1,"Household items",45,55,80,5.960000038,0,50,1
"251",25,1,"stim/21.jpeg",2,"Music items",45,55,74,18.82399988,0,50,1
"252",25,1,"stim/31.jpeg",3,"Household items",65,75,6,6.532000065,0,70,1
"256",25,1,"stim/41.jpeg",4,"Household items",65,75,80,11.54699993,0,70,1
"255",25,1,"stim/51.jpeg",5,"Music items",5,15,70,4.70600009,0,10,1
"253",25,1,"stim/61.jpeg",6,"Household items",5,15,89,6.23300004,0,10,1
"503",25,2,"stim/11.jpeg",1,"Household items",45,55,85,15.602,2,50,1
"501",25,2,"stim/21.jpeg",2,"Music items",45,55,50,2.638000011,2,50,1
"498",25,2,"stim/31.jpeg",3,"Household items",65,75,31,11.41600013,0,70,1
"499",25,2,"stim/41.jpeg",4,"Household items",65,75,66,6.792000055,1,70,1
"502",25,2,"stim/51.jpeg",5,"Music items",5,15,90,9.167999983,2,10,1
"500",25,2,"stim/61.jpeg",6,"Household items",5,15,90,6.187999964,1,10,1
"746",25,3,"stim/11.jpeg",1,"Household items",45,55,77,6.25999999,0,50,1
"747",25,3,"stim/21.jpeg",2,"Music items",45,55,30,10.29099989,0,50,1
"749",25,3,"stim/31.jpeg",3,"Household items",65,75,15,14.38800001,0,70,1
"750",25,3,"stim/41.jpeg",4,"Household items",65,75,79,9.92599988,0,70,1
"748",25,3,"stim/51.jpeg",5,"Music items",5,15,94,6.826999903,0,10,1
"745",25,3,"stim/61.jpeg",6,"Household items",5,15,86,12.70000005,0,10,1
"997",25,4,"stim/11.jpeg",1,"Household items",45,55,61,5.160000086,0,50,1
"996",25,4,"stim/21.jpeg",2,"Music items",45,55,40,5.927999973,0,50,1
"994",25,4,"stim/31.jpeg",3,"Household items",65,75,20,10.83800006,0,70,1
"993",25,4,"stim/41.jpeg",4,"Household items",65,75,84,6.062000036,0,70,1
"995",25,4,"stim/51.jpeg",5,"Music items",5,15,94,4.238000154,0,10,1
"992",25,4,"stim/61.jpeg",6,"Household items",5,15,95,6.91899991,0,10,1
