"","obj_file","X.x","participant.x","trialN.x","trial_cond","scn_file.x","scn_cat","scn_inst","scn_condition","fillers","obj_cat","obj_cat_num","quadrant","corr_ans","key_resp_trial.keys","key_resp_trial.rt","trial_acc","trial_acc_manual","group.x","practice","X.y","participant.y","OvsN","PE_level","object_cat","scn_file.y","corr_scn_cat","corr_scn_inst","scn_file.1","corr_loc","key_resp_id.keys","key_resp_id.rt","key_resp_conf.keys","key_resp_assoc.keys","key_resp_assoc.rt","key_resp_loc.keys","key_resp_loc.rt","trialN.y","id_acc","assoc.acc","cond_assoc","loc.acc","cond_loc","group.y"
"200","stim/objects/Instruments/oboe2.png",1,67,1,0.9,"stim/34.jpeg",3,4,3,NA,"Instruments",2,2,"right","",NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","stim/objects/HouseObjects/recyclingbin.png",2,67,2,0.3,"stim/11.jpeg",1,1,2,NA,"HouseObjects",1,1,"left","left",0.746999979,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","stim/objects/HouseObjects/knife.png",3,67,3,0.5,"stim/54.jpeg",5,4,1,NA,"HouseObjects",1,3,"left","left",0.745000124,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","stim/objects/Instruments/record_player.png",4,67,4,0.7,"stim/14.jpeg",1,4,2,NA,"Instruments",2,1,"right","right",0.605000019,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","stim/objects/HouseObjects/lintroller.png",5,67,5,0.5,"stim/61.jpeg",6,1,1,NA,"HouseObjects",1,1,"left","left",0.705999851,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","stim/objects/HouseObjects/pitcher.png",6,67,6,0.5,"stim/64.jpeg",6,4,1,NA,"HouseObjects",1,4,"left","right",0.568000078,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","stim/objects/HouseObjects/remote2.png",7,67,7,0.9,"stim/42.jpeg",4,2,3,NA,"HouseObjects",1,1,"left","left",0.664000034,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","stim/objects/Instruments/musicstand2.png",8,67,8,0.9,"stim/33.jpeg",3,3,3,NA,"Instruments",2,1,"right","right",0.55099988,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","stim/objects/Instruments/maraca2.png",9,67,9,0.3,"stim/23.jpeg",2,3,2,NA,"Instruments",2,2,"right","left",0.608999968,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","stim/objects/Instruments/oboe2.png",10,67,10,0.9,"stim/34.jpeg",3,4,3,NA,"Instruments",2,3,"right","right",0.601000071,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","stim/objects/HouseObjects/rubbergloves2.png",11,67,11,0.9,"stim/43.jpeg",4,3,3,NA,"HouseObjects",1,3,"left","left",0.483999968,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","stim/objects/HouseObjects/rug2.png",12,67,12,0.9,"stim/44.jpeg",4,4,3,NA,"HouseObjects",1,4,"left","left",0.592000008,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","stim/objects/Instruments/metronome2.png",13,67,13,0.9,"stim/31.jpeg",3,1,3,NA,"Instruments",2,1,"right","right",0.496999979,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","stim/objects/Instruments/pipepiano.png",14,67,14,0.7,"stim/12.jpeg",1,2,2,NA,"Instruments",2,3,"right","",NA,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
