"","participant","OvsN","PE_level","object_cat","obj_file","scn_file","corr_scn_cat","corr_scn_inst","scn_file.1","corr_loc","key_resp_id.keys","key_resp_id.rt","key_resp_conf.keys","key_resp_assoc.keys","key_resp_assoc.rt","key_resp_loc.keys","key_resp_loc.rt","trialN","id_acc","assoc.acc","cond_assoc","loc.acc","cond_loc","group"
"1",79,1,0.9,1,"stim/objects/HouseObjects/key2.png","stim/22.jpeg",2,2,"stim/22.jpeg",3,"right",1.498999834,4,4,5.222000122,2,1.596999884,1,0,0,NA,0,NA,0
"2",79,2,0,1,"stim/objects/HouseObjects/doormat3.png","",0,0,"",0,"left",5.592999935,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,0
"3",79,2,0,1,"stim/objects/HouseObjects/bleachbottle4.png","",0,0,"",0,"right",2.252000093,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,0
"4",79,2,0,2,"stim/objects/Instruments/doublebass3.png","",0,0,"",0,"right",2.278000116,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,0
"5",79,1,0.3,2,"stim/objects/Instruments/clarinet2.png","stim/61.jpeg",6,1,"stim/61.jpeg",3,"right",1.114000082,3,2,2.865999937,3,1.74000001,5,0,0,NA,1,NA,0
"6",79,2,0,1,"stim/objects/HouseObjects/bottle3.png","",0,0,"",0,"right",1.229000092,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,0
"7",79,2,0,2,"stim/objects/Instruments/keyboard3.png","",0,0,"",0,"left",1.696000099,NA,NA,NA,NA,NA,7,0,NA,NA,NA,NA,0
"8",79,2,0,2,"stim/objects/Instruments/bassguitar3.png","",0,0,"",0,"right",1.112999916,NA,NA,NA,NA,NA,8,1,NA,NA,NA,NA,0
"9",79,1,0.5,1,"stim/objects/Instruments/hihat.png","stim/31.jpeg",3,1,"stim/31.jpeg",4,"right",2.887000084,2,3,1.415999889,1,1.035000086,9,0,0,NA,0,NA,0
"10",79,2,0,2,"stim/objects/Instruments/laud3.png","",0,0,"",0,"left",3.954999924,NA,NA,NA,NA,NA,10,0,NA,NA,NA,NA,0
"11",79,2,0,1,"stim/objects/HouseObjects/key3.png","",0,0,"",0,"right",1.025000095,NA,NA,NA,NA,NA,11,1,NA,NA,NA,NA,0
"12",79,1,0.7,1,"stim/objects/HouseObjects/clothespin2.png","stim/62.jpeg",6,2,"stim/62.jpeg",4,"left",1.171000004,4,2,4.559000015,2,1.104000092,12,1,1,1,0,0,0
"13",79,2,0,1,"stim/objects/HouseObjects/remote3.png","",0,0,"",0,"right",1.349999905,NA,NA,NA,NA,NA,13,1,NA,NA,NA,NA,0
"14",79,2,0,2,"stim/objects/Instruments/gong3.png","",0,0,"",0,"left",0.947000027,NA,NA,NA,NA,NA,14,0,NA,NA,NA,NA,0
"15",79,2,0,1,"stim/objects/HouseObjects/blender4.png","",0,0,"",0,"left",1.253999949,NA,NA,NA,NA,NA,15,0,NA,NA,NA,NA,0
"16",79,2,0,2,"stim/objects/Instruments/accordion4.png","",0,0,"",0,"right",0.774000168,NA,NA,NA,NA,NA,16,1,NA,NA,NA,NA,0
"17",79,2,0,1,"stim/objects/HouseObjects/clothespin3.png","",0,0,"",0,"right",1.036000013,NA,NA,NA,NA,NA,17,1,NA,NA,NA,NA,0
"18",79,2,0,2,"stim/objects/Instruments/bassdrum3.png","",0,0,"",0,"right",1.099999905,NA,NA,NA,NA,NA,18,1,NA,NA,NA,NA,0
