id_acc,key_resp_id.keys,key_resp_id.rt,key_resp_conf.keys,key_resp_conf.rt,assoc_acc,key_resp_assoc.keys,key_resp_assoc.rt,loc_acc,key_resp_loc.keys,key_resp_loc.rt,task_innerloop.thisRepN,task_innerloop.thisTrialN,task_innerloop.thisN,task_innerloop.thisIndex,task_innerloop.ran,task_innerloop.order,context_type,object_cat,PE_level,OvsN,obj_file,scn_file,corr_scn_cat,assoc_file,corr_scn_inst,corr_loc,participant,date,expName,psychopyVersion,OS,frameRate
1,right,1.515000105,,,0,,,0,,,1,0,200,180,1,199,0,1,0,2,stim/objects/HouseObjects/flyswatter4.png,,0,stim/0.png,0,0,60,2021-02-24_07h31.36.558,premup-three_ses-02_part-03_label-phase3,3.2.4,Linux x86_64,60
1,right,1.122999907,,,0,,,0,,,1,0,200,160,1,199,0,1,0,2,stim/objects/HouseObjects/thermometer3.png,,0,stim/0.png,0,0,60,2021-02-24_07h31.36.558,premup-three_ses-02_part-03_label-phase3,3.2.4,Linux x86_64,60
1,left,1.118000031,4,2.762999773,0,3,7.814999819,0,1,2.463000059,1,0,200,36,1,199,2,2,0.7,1,stim/objects/Instruments/electricdrumset2.png,stim/34.jpeg,3,stim/3.png,4,1,60,2021-02-24_07h31.36.558,premup-three_ses-02_part-03_label-phase3,3.2.4,Linux x86_64,60
1,right,4.145999908,,,0,,,0,,,1,0,200,100,1,199,0,1,0,2,stim/objects/HouseObjects/coffee3.png,,0,stim/0.png,0,0,60,2021-02-24_07h31.36.558,premup-three_ses-02_part-03_label-phase3,3.2.4,Linux x86_64,60
1,right,1.423999786,,,0,,,0,,,1,0,200,173,1,199,0,2,0,2,stim/objects/Instruments/vuvuzela3.png,,0,stim/0.png,0,0,60,2021-02-24_07h31.36.558,premup-three_ses-02_part-03_label-phase3,3.2.4,Linux x86_64,60
1,right,0.95299983,4,2.156999826,0,4,5.368000031,0,1,0.987999916,1,0,200,89,1,199,3,1,0.9,1,stim/objects/HouseObjects/wateringcan2.png,stim/62.jpeg,6,stim/6.png,2,4,60,2021-02-24_07h31.36.558,premup-three_ses-02_part-03_label-phase3,3.2.4,Linux x86_64,60
1,right,1.402999878,,,0,,,0,,,1,0,200,157,1,199,0,2,0,2,stim/objects/Instruments/timbal3.png,,0,stim/0.png,0,0,60,2021-02-24_07h31.36.558,premup-three_ses-02_part-03_label-phase3,3.2.4,Linux x86_64,60
1,right,1.151999712,,,0,,,0,,,1,0,200,199,1,199,0,2,0,2,stim/objects/Instruments/maraca4.png,,0,stim/0.png,0,0,60,2021-02-24_07h31.36.558,premup-three_ses-02_part-03_label-phase3,3.2.4,Linux x86_64,60
1,left,12.67400002,,,0,,,0,,,1,0,200,135,1,199,0,2,0,2,stim/objects/Instruments/marimba3.png,,0,stim/0.png,0,0,60,2021-02-24_07h31.36.558,premup-three_ses-02_part-03_label-phase3,3.2.4,Linux x86_64,60
1,right,3.345999956,2,3.073999882,0,3,3.625,0,1,1.135999918,1,0,200,55,1,199,2,2,0.3,1,stim/objects/Instruments/harp2.png,stim/43.jpeg,4,stim/4.png,3,4,60,2021-02-24_07h31.36.558,premup-three_ses-02_part-03_label-phase3,3.2.4,Linux x86_64,60
