key_resp_trial.keys,key_resp_trial.rt,trial_acc,trial_index,iterations.thisRepN,iterations.thisTrialN,iterations.thisN,iterations.thisIndex,iterations.ran,iterations.order,task_innerloop.thisRepN,task_innerloop.thisTrialN,task_innerloop.thisN,task_innerloop.thisIndex,task_innerloop.ran,task_innerloop.order,scn_condition,scn_cat,scn_inst,scn_file,obj_cat,obj_cat_num,obj_file,trial_cond,quadrant,obj_x,obj_y,corr_ans,participant,date,expName,psychopyVersion,OS,frameRate
,,0,1,1,0,1,0,1,0,1,0,240,60,1,239,1,2,1,stim/21.jpeg,HouseObjects,2,stim/objects/HouseObjects/safetypin.png,0.5,3,-0.2,-0.15,right,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
right,0.565000057,1,2,1,0,1,0,1,0,1,0,240,67,1,239,1,2,4,stim/24.jpeg,HouseObjects,2,stim/objects/HouseObjects/sponge.png,0.5,2,0.2,0.15,right,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,3,1,0,1,0,1,0,1,0,240,96,1,239,2,3,1,stim/31.jpeg,HouseObjects,2,stim/objects/HouseObjects/spraybottle.png,0.7,4,0.2,-0.15,right,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
right,0.461000204,0,4,1,0,1,0,1,0,1,0,240,85,1,239,2,3,2,stim/32.jpeg,Instruments,1,stim/objects/Instruments/trombone.png,0.3,2,0.2,0.15,left,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,5,1,0,1,0,1,0,1,0,240,225,1,239,3,6,2,stim/62.jpeg,Instruments,1,stim/objects/Instruments/trombone2.png,0.9,4,0.2,-0.15,left,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
left,0.34800005,0,6,1,0,1,0,1,0,1,0,240,195,1,239,3,5,4,stim/54.jpeg,HouseObjects,2,stim/objects/HouseObjects/sponge2.png,0.9,2,0.2,0.15,right,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,7,1,0,1,0,1,0,1,0,240,90,1,239,2,3,3,stim/33.jpeg,Instruments,1,stim/objects/Instruments/trumpet.png,0.3,4,0.2,-0.15,left,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,8,1,0,1,0,1,0,1,0,240,184,1,239,3,5,1,stim/51.jpeg,HouseObjects,2,stim/objects/HouseObjects/safetypin2.png,0.9,4,0.2,-0.15,right,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
left,0.394999981,1,9,1,0,1,0,1,0,1,0,240,121,1,239,2,4,2,stim/42.jpeg,Instruments,1,stim/objects/Instruments/pipepiano2.png,0.7,3,-0.2,-0.15,left,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
right,0.431999922,0,10,1,0,1,0,1,0,1,0,240,207,1,239,3,6,4,stim/64.jpeg,Instruments,1,stim/objects/Instruments/tuba2.png,0.9,4,0.2,-0.15,left,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,11,1,0,1,0,1,0,1,0,240,233,1,239,3,6,2,stim/62.jpeg,Instruments,1,stim/objects/Instruments/trombone2.png,0.9,1,-0.2,0.15,left,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,12,1,0,1,0,1,0,1,0,240,78,1,239,1,2,3,stim/23.jpeg,HouseObjects,2,stim/objects/HouseObjects/scale.png,0.5,1,-0.2,0.15,right,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,13,1,0,1,0,1,0,1,0,240,171,1,239,3,5,4,stim/54.jpeg,HouseObjects,2,stim/objects/HouseObjects/sponge2.png,0.9,4,0.2,-0.15,right,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,14,1,0,1,0,1,0,1,0,240,203,1,239,3,6,4,stim/64.jpeg,Instruments,1,stim/objects/Instruments/tuba2.png,0.9,3,-0.2,-0.15,left,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,15,1,0,1,0,1,0,1,0,240,7,1,239,1,1,4,stim/14.jpeg,Instruments,1,stim/objects/Instruments/record_player.png,0.5,4,0.2,-0.15,left,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,16,1,0,1,0,1,0,1,0,240,138,1,239,2,4,3,stim/43.jpeg,Instruments,1,stim/objects/Instruments/record2.png,0.7,2,0.2,0.15,left,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,17,1,0,1,0,1,0,1,0,240,208,1,239,3,6,1,stim/61.jpeg,Instruments,1,stim/objects/Instruments/triangle2.png,0.9,2,0.2,0.15,left,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,18,1,0,1,0,1,0,1,0,240,223,1,239,3,6,4,stim/64.jpeg,Instruments,1,stim/objects/Instruments/tuba2.png,0.9,2,0.2,0.15,left,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,19,1,0,1,0,1,0,1,0,240,155,1,239,2,4,4,stim/44.jpeg,HouseObjects,2,stim/objects/HouseObjects/rug2.png,0.3,2,0.2,0.15,right,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,20,1,0,1,0,1,0,1,0,240,232,1,239,3,6,1,stim/61.jpeg,Instruments,1,stim/objects/Instruments/triangle2.png,0.9,2,0.2,0.15,left,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,21,1,0,1,0,1,0,1,0,240,93,1,239,2,3,2,stim/32.jpeg,HouseObjects,2,stim/objects/HouseObjects/teapot.png,0.7,1,-0.2,0.15,right,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,22,1,0,1,0,1,0,1,0,240,71,1,239,1,2,4,stim/24.jpeg,HouseObjects,2,stim/objects/HouseObjects/sponge.png,0.5,2,0.2,0.15,right,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,23,1,0,1,0,1,0,1,0,240,190,1,239,3,5,3,stim/53.jpeg,HouseObjects,2,stim/objects/HouseObjects/scale2.png,0.9,2,0.2,0.15,right,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,24,1,0,1,0,1,0,1,0,240,19,1,239,1,1,4,stim/14.jpeg,Instruments,1,stim/objects/Instruments/record_player.png,0.5,1,-0.2,0.15,left,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,25,1,0,1,0,1,0,1,0,240,176,1,239,3,5,1,stim/51.jpeg,HouseObjects,2,stim/objects/HouseObjects/safetypin2.png,0.9,1,-0.2,0.15,right,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,26,1,0,1,0,1,0,1,0,240,194,1,239,3,5,3,stim/53.jpeg,HouseObjects,2,stim/objects/HouseObjects/scale2.png,0.9,1,-0.2,0.15,right,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,27,1,0,1,0,1,0,1,0,240,45,1,239,1,2,2,stim/22.jpeg,Instruments,1,stim/objects/Instruments/speaker.png,0.5,1,-0.2,0.15,left,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,28,1,0,1,0,1,0,1,0,240,82,1,239,2,3,3,stim/33.jpeg,Instruments,1,stim/objects/Instruments/trumpet.png,0.3,3,-0.2,-0.15,left,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,29,1,0,1,0,1,0,1,0,240,36,1,239,1,1,1,stim/11.jpeg,HouseObjects,2,stim/objects/HouseObjects/recyclingbin.png,0.5,2,0.2,0.15,right,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,30,1,0,1,0,1,0,1,0,240,43,1,239,1,2,4,stim/24.jpeg,Instruments,1,stim/objects/Instruments/timbal.png,0.5,3,-0.2,-0.15,left,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,31,1,0,1,0,1,0,1,0,240,58,1,239,1,2,3,stim/23.jpeg,Instruments,1,stim/objects/Instruments/tambourine.png,0.5,1,-0.2,0.15,left,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,32,1,0,1,0,1,0,1,0,240,166,1,239,3,5,3,stim/53.jpeg,HouseObjects,2,stim/objects/HouseObjects/scale2.png,0.9,2,0.2,0.15,right,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,33,1,0,1,0,1,0,1,0,240,132,1,239,2,4,1,stim/41.jpeg,Instruments,1,stim/objects/Instruments/panflute2.png,0.7,1,-0.2,0.15,left,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,34,1,0,1,0,1,0,1,0,240,57,1,239,1,2,2,stim/22.jpeg,Instruments,1,stim/objects/Instruments/speaker.png,0.5,1,-0.2,0.15,left,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,35,1,0,1,0,1,0,1,0,240,228,1,239,3,6,1,stim/61.jpeg,Instruments,1,stim/objects/Instruments/triangle2.png,0.9,4,0.2,-0.15,left,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,36,1,0,1,0,1,0,1,0,240,28,1,239,1,1,1,stim/11.jpeg,HouseObjects,2,stim/objects/HouseObjects/recyclingbin.png,0.5,2,0.2,0.15,right,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
,,0,37,1,0,1,0,1,0,1,0,240,73,1,239,1,2,2,stim/22.jpeg,HouseObjects,2,stim/objects/HouseObjects/saw.png,0.5,1,-0.2,0.15,right,28,2020-12-04_18h34.36.971,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60
