key_resp_pract.keys,key_resp_pract.rt,trial_acc,trial_index,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,practice_loop.order,scn_condition,scn_cat,scn_inst,scn_file,obj_cat,obj_cat_num,obj_file,trial_cond,quadrant,obj_x,obj_y,corr_ans,participant,date,expName,psychopyVersion,OS,frameRate
left,1.072999954,1,1,1,0,240,130,1,239,2,6,3,stim/63.jpeg,HouseObjects,1,stim/objects/HouseObjects/saw2.png,0.7,2,0.2,0.15,left,39,2020-12-12_18h07.01.977,premup-three_ses-01_part-01_label-phase1,3.2.4,MacIntel,60
right,0.663000107,0,2,1,0,240,88,1,239,2,5,1,stim/51.jpeg,HouseObjects,1,stim/objects/HouseObjects/thread.png,0.3,2,0.2,0.15,left,39,2020-12-12_18h07.01.977,premup-three_ses-01_part-01_label-phase1,3.2.4,MacIntel,60
left,0.36500001,0,3,1,0,240,239,1,239,3,2,4,stim/24.jpeg,Instruments,2,stim/objects/Instruments/xylophone2.png,0.1,3,-0.2,-0.15,right,39,2020-12-12_18h07.01.977,premup-three_ses-01_part-01_label-phase1,3.2.4,MacIntel,60
right,0.514000177,0,4,1,0,240,2,1,239,1,3,3,stim/33.jpeg,HouseObjects,1,stim/objects/HouseObjects/saw.png,0.5,3,-0.2,-0.15,left,39,2020-12-12_18h07.01.977,premup-three_ses-01_part-01_label-phase1,3.2.4,MacIntel,60
left,0.78000021,1,5,1,0,240,15,1,239,1,3,4,stim/34.jpeg,HouseObjects,1,stim/objects/HouseObjects/scale.png,0.5,2,0.2,0.15,left,39,2020-12-12_18h07.01.977,premup-three_ses-01_part-01_label-phase1,3.2.4,MacIntel,60
right,0.76300025,1,6,1,0,240,190,1,239,3,1,3,stim/13.jpeg,Instruments,2,stim/objects/Instruments/trombone2.png,0.9,3,-0.2,-0.15,right,39,2020-12-12_18h07.01.977,premup-three_ses-01_part-01_label-phase1,3.2.4,MacIntel,60
left,0.730000257,1,7,1,0,240,143,1,239,2,6,4,stim/64.jpeg,HouseObjects,1,stim/objects/HouseObjects/scale2.png,0.7,4,0.2,-0.15,left,39,2020-12-12_18h07.01.977,premup-three_ses-01_part-01_label-phase1,3.2.4,MacIntel,60
right,0.680000305,0,8,1,0,240,218,1,239,3,2,3,stim/23.jpeg,HouseObjects,1,stim/objects/HouseObjects/vacuumcleaner2.png,0.9,1,-0.2,0.15,left,39,2020-12-12_18h07.01.977,premup-three_ses-01_part-01_label-phase1,3.2.4,MacIntel,60
right,0.748000145,0,9,1,0,240,128,1,239,2,6,1,stim/61.jpeg,HouseObjects,1,stim/objects/HouseObjects/rug2.png,0.7,3,-0.2,-0.15,left,39,2020-12-12_18h07.01.977,premup-three_ses-01_part-01_label-phase1,3.2.4,MacIntel,60
left,0.775000095,0,10,1,0,240,174,1,239,3,1,3,stim/13.jpeg,Instruments,2,stim/objects/Instruments/trombone2.png,0.9,2,0.2,0.15,right,39,2020-12-12_18h07.01.977,premup-three_ses-01_part-01_label-phase1,3.2.4,MacIntel,60
