key_resp_trial.keys,key_resp_trial.rt,trial_acc,trial_index,iterations.thisRepN,iterations.thisTrialN,iterations.thisN,iterations.thisIndex,iterations.ran,iterations.order,task_innerloop.thisRepN,task_innerloop.thisTrialN,task_innerloop.thisN,task_innerloop.thisIndex,task_innerloop.ran,task_innerloop.order,scn_condition,scn_cat,scn_inst,scn_file,obj_cat,obj_cat_num,obj_file,trial_cond,quadrant,obj_x,obj_y,corr_ans,participant,date,expName,psychopyVersion,OS,frameRate,slider.response,slider.rt,slider_2.response,slider_2.rt,ratings.thisRepN,ratings.thisTrialN,ratings.thisN,ratings.thisIndex,ratings.ran,ratings.order,obj_cat_top,min_resp_top,max_resp_top,obj_cat_bottom,min_resp_bottom,max_resp_bottom,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,enc_trials.ran,enc_trials.order,fillers,ratings_final.thisRepN,ratings_final.thisTrialN,ratings_final.thisN,ratings_final.thisIndex,ratings_final.ran,ratings_final.order
,,0,1,1,0,1,0,1,0,1,0,240,11,1,239,1,3,4,stim/34.jpeg,Instruments,1,stim/objects/Instruments/flute.png,0.5,2,0.2,0.15,left,16,2020-12-02_12h39.18.719,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.627000093,0,2,1,0,1,0,1,0,1,0,240,103,1,239,2,5,4,stim/54.jpeg,HouseObjects,2,stim/objects/HouseObjects/handvacuum.png,0.7,4,0.2,-0.15,right,16,2020-12-02_12h39.18.719,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0.485000134,0,3,1,0,1,0,1,0,1,0,240,209,1,239,3,2,2,stim/22.jpeg,Instruments,1,stim/objects/Instruments/harmonica2.png,0.9,4,0.2,-0.15,left,16,2020-12-02_12h39.18.719,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,4,1,0,1,0,1,0,1,0,240,51,1,239,1,4,4,stim/44.jpeg,Instruments,1,stim/objects/Instruments/grandpiano.png,0.5,3,-0.2,-0.15,left,16,2020-12-02_12h39.18.719,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.46600008,0,5,1,0,1,0,1,0,1,0,240,34,1,239,1,3,3,stim/33.jpeg,HouseObjects,2,stim/objects/HouseObjects/dishsoap.png,0.5,4,0.2,-0.15,right,16,2020-12-02_12h39.18.719,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.567000151,0,6,1,0,1,0,1,0,1,0,240,23,1,239,1,3,4,stim/34.jpeg,HouseObjects,2,stim/objects/HouseObjects/doormat.png,0.5,1,-0.2,0.15,right,16,2020-12-02_12h39.18.719,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,7,1,0,1,0,1,0,1,0,240,0,1,239,1,3,1,stim/31.jpeg,Instruments,1,stim/objects/Instruments/drums.png,0.5,2,0.2,0.15,left,16,2020-12-02_12h39.18.719,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.617000341,1,8,1,0,1,0,1,0,1,0,240,54,1,239,1,4,3,stim/43.jpeg,Instruments,1,stim/objects/Instruments/gong.png,0.5,2,0.2,0.15,left,16,2020-12-02_12h39.18.719,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0.539000034,1,9,1,0,1,0,1,0,1,0,240,79,1,239,1,4,4,stim/44.jpeg,HouseObjects,2,stim/objects/HouseObjects/glass.png,0.5,1,-0.2,0.15,right,16,2020-12-02_12h39.18.719,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0.63499999,0,10,1,0,1,0,1,0,1,0,240,9,1,239,1,3,2,stim/32.jpeg,Instruments,1,stim/objects/Instruments/electricdrumset.png,0.5,4,0.2,-0.15,left,16,2020-12-02_12h39.18.719,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
left,0.57400012,0,11,1,0,1,0,1,0,1,0,240,180,1,239,3,1,1,stim/11.jpeg,HouseObjects,2,stim/objects/HouseObjects/dustpan2.png,0.9,4,0.2,-0.15,right,16,2020-12-02_12h39.18.719,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,12,1,0,1,0,1,0,1,0,240,69,1,239,1,4,2,stim/42.jpeg,HouseObjects,2,stim/objects/HouseObjects/flyswatter.png,0.5,3,-0.2,-0.15,right,16,2020-12-02_12h39.18.719,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0.295000076,1,13,1,0,1,0,1,0,1,0,240,173,1,239,3,1,2,stim/12.jpeg,HouseObjects,2,stim/objects/HouseObjects/flyswatter2.png,0.9,2,0.2,0.15,right,16,2020-12-02_12h39.18.719,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0.609000206,1,14,1,0,1,0,1,0,1,0,240,184,1,239,3,1,1,stim/11.jpeg,HouseObjects,2,stim/objects/HouseObjects/dustpan2.png,0.9,1,-0.2,0.15,right,16,2020-12-02_12h39.18.719,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0.313000202,0,15,1,0,1,0,1,0,1,0,240,1,1,239,1,3,2,stim/32.jpeg,Instruments,1,stim/objects/Instruments/electricdrumset.png,0.5,4,0.2,-0.15,left,16,2020-12-02_12h39.18.719,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
right,0.558000088,0,16,1,0,1,0,1,0,1,0,240,4,1,239,1,3,1,stim/31.jpeg,Instruments,1,stim/objects/Instruments/drums.png,0.5,1,-0.2,0.15,left,16,2020-12-02_12h39.18.719,premup-three_ses-02_part-02_label-phase2,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
