id_acc,key_resp_id.keys,key_resp_id.rt,key_resp_conf.keys,key_resp_conf.rt,assoc_acc,key_resp_assoc.keys,key_resp_assoc.rt,loc_acc,key_resp_loc.keys,key_resp_loc.rt,task_innerloop.thisRepN,task_innerloop.thisTrialN,task_innerloop.thisN,task_innerloop.thisIndex,task_innerloop.ran,task_innerloop.order,context_type,object_cat,PE_level,OvsN,obj_file,scn_file,corr_scn_cat,assoc_file,corr_scn_inst,corr_loc,participant,date,expName,psychopyVersion,OS,frameRate
1,left,1.243999958,,,0,,,0,,,1,0,200,164,1,199,0,1,0,2,stim/objects/Instruments/xylophone.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,0.805999994,,,0,,,0,,,1,0,200,127,1,199,0,1,0,2,stim/objects/Instruments/frenchhorn.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,0.831999779,4,3.156999826,0,4,8.576999903,0,2,5.370999813,1,0,200,85,1,199,3,1,0.9,1,stim/objects/Instruments/musicstand4.png,stim/62.jpeg,6,stim/6.png,2,1,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,2.426000118,,,0,,,0,,,1,0,200,167,1,199,0,1,0,2,stim/objects/Instruments/balalaika2.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,1.105999947,,,0,,,0,,,1,0,200,193,1,199,0,2,0,2,stim/objects/HouseObjects/bucket2.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,1.539000034,,,0,,,0,,,1,0,200,111,1,199,0,2,0,2,stim/objects/HouseObjects/ballofstring.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,1.097999811,4,1.621999979,0,4,3.127000093,0,4,1.878999949,1,0,200,88,1,199,3,1,0.9,1,stim/objects/Instruments/vuvuzela4.png,stim/61.jpeg,6,stim/6.png,1,2,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.996999979,3,2.648000002,0,1,13.64999986,0,3,5.090999842,1,0,200,22,1,199,2,1,0.3,1,stim/objects/Instruments/violin3.png,stim/33.jpeg,3,stim/3.png,3,1,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.497999907,3,2.832999945,0,1,3.536999941,0,4,2.856999874,1,0,200,28,1,199,2,1,0.3,1,stim/objects/Instruments/banjo4.png,stim/31.jpeg,3,stim/3.png,1,1,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,2.27699995,2,3.232999802,0,4,4.318999767,0,1,2.241999865,1,0,200,36,1,199,2,2,0.7,1,stim/objects/HouseObjects/ballofstring4.png,stim/34.jpeg,3,stim/3.png,4,2,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.572999954,,,0,,,0,,,1,0,200,106,1,199,0,1,0,2,stim/objects/Instruments/cello.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,1.397999763,4,1.353999853,0,3,3.512999773,0,2,1.967999935,1,0,200,79,1,199,3,2,0.9,1,stim/objects/HouseObjects/iron4.png,stim/54.jpeg,5,stim/5.png,4,4,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.689999819,,,0,,,0,,,1,0,200,170,1,199,0,2,0,2,stim/objects/HouseObjects/pan.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,0.993000031,4,1.049000025,0,1,2.982999802,0,2,2.651999712,1,0,200,10,1,199,1,2,0.5,1,stim/objects/Instruments/laud3.png,stim/21.jpeg,2,stim/2.png,1,4,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.497999907,,,0,,,0,,,1,0,200,121,1,199,0,1,0,2,stim/objects/Instruments/doublebass.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.628000021,,,0,,,0,,,1,0,200,172,1,199,0,2,0,2,stim/objects/HouseObjects/towel.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,1.207999945,3,3.088999987,0,4,4.694000006,0,4,0.950000048,1,0,200,68,1,199,3,1,0.1,1,stim/objects/Instruments/hihat4.png,stim/51.jpeg,5,stim/5.png,1,4,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,2.111000061,,,0,,,0,,,1,0,200,141,1,199,0,1,0,2,stim/objects/Instruments/harmonica.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,1.307999849,3,0.906000137,0,1,6.729999781,0,2,2.9599998,1,0,200,46,1,199,2,1,0.7,1,stim/objects/Instruments/doublebass4.png,stim/42.jpeg,4,stim/4.png,2,3,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.269999743,,,0,,,0,,,1,0,200,156,1,199,0,2,0,2,stim/objects/HouseObjects/key.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,0.951999903,,,0,,,0,,,1,0,200,147,1,199,0,1,0,2,stim/objects/Instruments/marimba.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,0.90899992,4,0.832999706,0,1,4.825999975,0,2,0.98699975,1,0,200,72,1,199,3,2,0.9,1,stim/objects/HouseObjects/flyswatter4.png,stim/51.jpeg,5,stim/5.png,1,2,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.463999987,2,1.154999971,0,2,3.378000021,0,2,2.338999987,1,0,200,30,1,199,2,2,0.7,1,stim/objects/HouseObjects/pan3.png,stim/32.jpeg,3,stim/3.png,2,4,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,0.914000034,3,1.742999792,0,3,3.030999899,0,1,1.498999834,1,0,200,96,1,199,3,2,0.1,1,stim/objects/HouseObjects/pitcher4.png,stim/61.jpeg,6,stim/6.png,1,2,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.161000013,3,1.602999926,0,2,1.882999897,0,2,1.113999844,1,0,200,87,1,199,3,1,0.9,1,stim/objects/Instruments/violin4.png,stim/64.jpeg,6,stim/6.png,4,4,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,2.243999958,4,1.054000139,0,4,7.368000031,0,1,1.161999941,1,0,200,19,1,199,1,2,0.5,1,stim/objects/HouseObjects/match3.png,stim/24.jpeg,2,stim/2.png,4,2,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,0.975999832,2,1.338999987,0,2,5.234999895,0,1,1.875999928,1,0,200,86,1,199,3,1,0.9,1,stim/objects/Instruments/oboe4.png,stim/63.jpeg,6,stim/6.png,3,4,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,0.876999855,,,0,,,0,,,1,0,200,185,1,199,0,1,0,2,stim/objects/Instruments/cymbal2.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,0.845000029,,,0,,,0,,,1,0,200,143,1,199,0,1,0,2,stim/objects/Instruments/hihat.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,1.677000046,,,0,,,0,,,1,0,200,146,1,199,0,1,0,2,stim/objects/Instruments/maraca.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.312000036,3,1.055000067,0,2,1.739000082,0,3,0.778999805,1,0,200,6,1,199,1,1,0.5,1,stim/objects/HouseObjects/hairdryer3.png,stim/13.jpeg,1,stim/1.png,3,1,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,1.373999834,4,1.217000008,0,3,5.484999895,0,2,0.845000029,1,0,200,76,1,199,3,2,0.9,1,stim/objects/HouseObjects/hairdryer4.png,stim/51.jpeg,5,stim/5.png,1,1,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,1.559999943,4,0.902999878,0,1,3.766000032,0,1,2.595000029,1,0,200,2,1,199,1,1,0.5,1,stim/objects/Instruments/harp3.png,stim/11.jpeg,1,stim/1.png,1,3,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.007999897,,,0,,,0,,,1,0,200,166,1,199,0,1,0,2,stim/objects/Instruments/acousticguitar2.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.055999994,,,0,,,0,,,1,0,200,171,1,199,0,2,0,2,stim/objects/HouseObjects/pitcher.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,0.825000048,,,0,,,0,,,1,0,200,176,1,199,0,2,0,2,stim/objects/HouseObjects/ballofstring2.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,0.85800004,,,0,,,0,,,1,0,200,115,1,199,0,2,0,2,stim/objects/HouseObjects/blender.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,right,1.446999788,2,1.157999992,0,2,1.013999939,0,3,0.818000078,1,0,200,89,1,199,3,1,0.9,1,stim/objects/Instruments/xylophone4.png,stim/62.jpeg,6,stim/6.png,2,2,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
1,left,2.4599998,,,0,,,0,,,1,0,200,153,1,199,0,2,0,2,stim/objects/HouseObjects/handvacuum.png,,0,stim/0.png,0,0,8,2020-11-18_12h43.18.424,premup-three_ses-02_part-03_label-phase3,3.2.4,MacIntel,60
