"","X","participant","scn_file","scn_cat","obj_cat_top","min_resp_top","max_resp_top","slider.response","slider.rt","iteration_index","corr_rat","group"
"1",241,1,"stim/11.jpeg",1,"Music items",45,55,14,13.34500003,1,50,1
"2",243,1,"stim/21.jpeg",2,"Household items",45,55,9,7.086999893,1,50,1
"3",244,1,"stim/31.jpeg",3,"Music items",65,75,40,5.186000109,1,70,1
"4",242,1,"stim/41.jpeg",4,"Music items",65,75,40,8.052999973,1,70,1
"5",246,1,"stim/51.jpeg",5,"Household items",5,15,82,4.970000029,1,10,1
"6",245,1,"stim/61.jpeg",6,"Music items",5,15,81,10.421,1,10,1
"7",582,1,"stim/11.jpeg",1,"Music items",45,55,14,7.730000019,2,50,1
"8",579,1,"stim/21.jpeg",2,"Household items",45,55,16,7.736999989,2,50,1
"9",581,1,"stim/31.jpeg",3,"Music items",65,75,50,4.204999924,2,70,1
"10",578,1,"stim/41.jpeg",4,"Music items",65,75,55,7.601999998,2,70,1
"11",580,1,"stim/51.jpeg",5,"Household items",5,15,80,5.835999966,2,10,1
"12",583,1,"stim/61.jpeg",6,"Music items",5,15,31,5.836000204,2,10,1
"13",244,2,"stim/11.jpeg",1,"Household items",45,55,32,5.605999947,1,50,1
"14",242,2,"stim/21.jpeg",2,"Music items",45,55,63,5.505999804,1,50,1
"15",241,2,"stim/31.jpeg",3,"Household items",65,75,93,6.114000082,1,70,1
"16",243,2,"stim/41.jpeg",4,"Household items",65,75,100,5.034000158,1,70,1
"17",245,2,"stim/51.jpeg",5,"Music items",5,15,58,5.661000013,1,10,1
"18",246,2,"stim/61.jpeg",6,"Household items",5,15,14,3.093999863,1,10,1
"19",578,2,"stim/11.jpeg",1,"Household items",45,55,20,5.401000023,2,50,1
"20",582,2,"stim/21.jpeg",2,"Music items",45,55,64,4.148000002,2,50,1
"21",581,2,"stim/31.jpeg",3,"Household items",65,75,0,2.657999992,2,70,1
"22",579,2,"stim/41.jpeg",4,"Household items",65,75,0,3.02699995,2,70,1
"23",580,2,"stim/51.jpeg",5,"Music items",5,15,60,18.06500006,2,10,1
"24",583,2,"stim/61.jpeg",6,"Household items",5,15,36,2.287999868,2,10,1
"25",241,3,"stim/11.jpeg",1,"Music items",45,55,51,5.721000195,1,50,1
"26",242,3,"stim/21.jpeg",2,"Household items",45,55,68,3.454999924,1,50,1
"27",244,3,"stim/31.jpeg",3,"Music items",65,75,34,5.253000021,1,70,1
"28",245,3,"stim/41.jpeg",4,"Music items",65,75,62,2.953999996,1,70,1
"29",243,3,"stim/51.jpeg",5,"Household items",5,15,86,2.861999989,1,10,1
"30",246,3,"stim/61.jpeg",6,"Music items",5,15,83,2.677000046,1,10,1
"31",579,3,"stim/11.jpeg",1,"Music items",45,55,60,5.492999792,2,50,1
"32",582,3,"stim/21.jpeg",2,"Household items",45,55,70,3.578000069,2,50,1
"33",578,3,"stim/31.jpeg",3,"Music items",65,75,50,5.170000076,2,70,1
"34",583,3,"stim/41.jpeg",4,"Music items",65,75,73,2.953999996,2,70,1
"35",581,3,"stim/51.jpeg",5,"Household items",5,15,80,4.767999887,2,10,1
"36",580,3,"stim/61.jpeg",6,"Music items",5,15,91,4.832999945,2,10,1
"37",246,4,"stim/11.jpeg",1,"Household items",45,55,10,5.537000179,1,50,1
"38",245,4,"stim/21.jpeg",2,"Music items",45,55,10,5.236999989,1,50,1
"39",241,4,"stim/31.jpeg",3,"Household items",65,75,40,6.048999786,1,70,1
"40",242,4,"stim/41.jpeg",4,"Household items",65,75,50,4.086999893,1,70,1
"41",243,4,"stim/51.jpeg",5,"Music items",5,15,70,9.148000002,1,10,1
"42",244,4,"stim/61.jpeg",6,"Household items",5,15,43,3.92599988,1,10,1
