"","PartNum","dfLR_Instr","dLR_Instr","fLR_Eval","fLR_Instr"
"1",1,226.938456572224,264.323464276969,262.08371196518,250.670344378265
"2",2,512.135921640465,524.110381154616,488.431537157081,478.275968625829
"3",3,276.071246257815,304.895348903229,333.87990227861,315.292552313109
"4",4,373.776754755073,374.217237201543,376.576649799869,359.086491937349
"5",6,238.869369784014,251.01670515363,188.59379142268,195.728301568978
"6",7,580.464697557353,590.408208863839,550.098374913192,593.308670637461
"7",8,157.522740705264,162.635288382446,155.697044466126,142.063965297393
"8",9,434.037340529347,452.182261193303,408.020882537437,403.893220790186
"9",10,80.1671838731287,84.577993293095,61.8213506654012,62.4402502823061
"10",11,399.279553034268,396.253121811966,389.112018386102,386.125042687163
"11",12,269.166350584003,292.320646403947,243.133018182657,246.79880247762
"12",14,202.037928593514,230.66373844987,167.033928944303,170.171107696382
"13",15,258.482113495849,291.284178838206,241.817459389781,241.979499304438
"14",16,565.750311280363,559.78416454124,560.137318384863,562.45879299143
"15",17,82.6203905453803,83.4560415851005,100.393256045879,80.0048643544367
"16",18,132.717584092773,149.848251554426,134.20271721269,131.211092710668
"17",19,258.304210048964,274.474900530498,265.692827868865,254.880219822713
"18",20,274.040997313641,283.623781665875,239.602336811831,243.8357740078
"19",21,407.402089054209,418.533828584382,403.37387523892,394.899310781518
"20",22,132.902825891526,157.285069870601,124.352457465524,117.030720244365
"21",23,320.798199981179,336.946029355615,304.652118869042,299.241301256474
"22",24,473.596044571157,467.694448842177,482.936395521664,466.842974336732
"23",25,216.712401516331,221.845360502222,213.410592626273,212.378213185034
"24",26,151.394057913982,153.918980550616,158.995155369099,142.939971344938
"25",27,143.495977580511,155.93624318187,156.893887497467,142.571346383928
"26",28,236.17140783027,248.434700393494,225.65075496854,224.159620368331
"27",29,155.548456777422,166.226427765858,153.419337255816,148.735413001094
"28",30,308.942302554045,331.359505781358,298.738521745114,300.674192023657
"29",31,147.525150999246,173.281750722556,146.367020520906,136.207151658618
"30",32,534.129154408171,528.163007669048,564.005728037316,547.602513155145
"31",33,130.34969385645,144.831223298666,128.135275144003,117.939195440685
"32",34,182.912082205913,184.008642361107,157.366499649669,155.386618335332
