"scene_cat","object_cat","response","acc","pe_level","trialN","Q1","befQ1","P1","variance1","Q2","befQ2","P2","variance2","Q3","befQ3","P3","variance3","Prob","Delta","x1","x2","x3","Delta1","Delta2","Delta3","SubNum"
4,1,0,0,1,1,0.362991996819665,0.33,0.333333333333333,0.166666666666667,0.313750210521657,0.33,0.333333333333333,0.166666666666667,0.313750210521657,0.33,0.333333333333333,0.166666666666667,NA,NA,1,0,0,0.67,-0.33,-0.33,1
5,1,1,1,3,2,0.362991996819665,0.33,0.333333333333333,0.166666666666667,0.313750210521657,0.33,0.333333333333333,0.166666666666667,0.313750210521657,0.33,0.333333333333333,0.166666666666667,0.333333333333333,NA,1,0,0,0.67,-0.33,-0.33,1
4,1,2,0,1,3,0.394359408782392,0.362991996819665,0.394211672995134,0.0174858223062382,0.298300589704195,0.313750210521657,0.302894163502433,0.0174858223062382,0.298300589704195,0.313750210521657,0.302894163502433,0.0174858223062382,0.302894163502433,NA,1,0,0,0.637008003180334,-0.313750210521657,-0.313750210521657,1
4,1,3,0,1,4,0.424182233348529,0.394359408782392,0.455340955447654,0.0174858223062382,0.283611735813411,0.298300589704195,0.272329522276173,0.0174858223062382,0.283611735813411,0.298300589704195,0.272329522276173,0.0174858223062382,0.272329522276173,NA,1,0,0,0.605640591217607,-0.298300589704195,-0.298300589704195,1
4,2,1,0,3,5,0.403294742462569,0.424182233348529,0.514765485244753,0.0174858223062382,0.318887973624888,0.283611735813411,0.242617257377623,0.0174858223062382,0.26964618732688,0.283611735813411,0.242617257377623,0.0174858223062382,0.514765485244753,NA,0,1,0,-0.424182233348529,0.716388264186589,-0.283611735813411,1
1,3,2,0,2,6,0.313750210521657,0.33,0.333333333333333,0.166666666666667,0.313750210521657,0.33,0.333333333333333,0.166666666666667,0.362991996819665,0.33,0.333333333333333,0.166666666666667,0.333333333333333,NA,0,0,1,-0.33,-0.33,0.67,1
5,2,1,0,1,7,0.345117622484384,0.362991996819665,0.394211672995134,0.0174858223062382,0.347542376002203,0.313750210521657,0.302894163502433,0.0174858223062382,0.298300589704195,0.313750210521657,0.302894163502433,0.0174858223062382,0.394211672995134,NA,0,1,0,-0.362991996819665,0.686249789478343,-0.313750210521657,1
1,2,0,0,2,8,0.298300589704195,0.313750210521657,0.302894163502433,0.0666666666666667,0.347542376002203,0.313750210521657,0.302894163502433,0.0666666666666667,0.345117622484384,0.362991996819665,0.394211672995134,0.0666666666666667,NA,NA,0,1,0,-0.313750210521657,0.686249789478343,-0.362991996819665,1
6,3,3,1,1,9,0.313750210521657,0.33,0.333333333333333,0.166666666666667,0.313750210521657,0.33,0.333333333333333,0.166666666666667,0.362991996819665,0.33,0.333333333333333,0.166666666666667,0.333333333333333,NA,0,0,1,-0.33,-0.33,0.67,1
3,2,1,0,2,10,0.313750210521657,0.33,0.333333333333333,0.166666666666667,0.362991996819665,0.33,0.333333333333333,0.166666666666667,0.313750210521657,0.33,0.333333333333333,0.166666666666667,0.333333333333333,NA,0,1,0,-0.33,0.67,-0.33,1
